X_Value,Y1_Value,Y2_Value,Y3_Value
385,-279.6940866,74933.90195,74654.20786
386,-283.2046254,74933.98312,74650.77849
387,-286.5271714,74934.0864,74647.55923
388,-289.6464684,74934.21054,74644.56407
389,-292.5472603,74934.35428,74641.80702
390,-295.214291,74934.51637,74639.30208
391,-297.6323043,74934.69558,74637.06328
392,-299.7860442,74934.89064,74635.1046
393,-301.6602545,74935.10031,74633.44006
394,-303.239679,74935.32335,74632.08367
395,-304.5090617,74935.55849,74631.04943
396,-305.4531464,74935.8045,74630.35135
397,-306.056677,74936.06012,74630.00344
398,-306.3043974,74936.32411,74630.01971
399,-306.1810513,74936.59521,74630.41416
400,-305.6713828,74936.87218,74631.2008
401,-304.7601356,74937.15377,74632.39363
402,-303.4320537,74937.43873,74634.00668
403,-301.6718809,74937.72581,74636.05393
404,-299.4643611,74938.01376,74638.5494
405,-296.7942382,74938.30133,74641.50709
406,-293.6462559,74938.58728,74644.94102
407,-290.0051583,74938.87035,74648.86519
408,-285.8556891,74939.14929,74653.2936
409,-281.1825923,74939.42286,74658.24027
410,-275.9706117,74939.68982,74663.71921
411,-270.2044911,74939.94889,74669.7444
412,-263.8689746,74940.19885,74676.32988
413,-256.9488058,74940.43844,74683.48963
414,-249.4287288,74940.66642,74691.23769
415,-241.2934873,74940.88152,74699.58803
416,-232.5278252,74941.08251,74708.55468
417,-223.1164865,74941.26814,74718.15165
418,-213.044215,74941.43715,74728.39294
419,-202.2957545,74941.58829,74739.29254
420,-190.8558489,74941.72033,74750.86448
421,-178.7092421,74941.83201,74763.12277
422,-165.8279043,74941.92243,74776.09453
423,-152.1327103,74941.99216,74789.85945
424,-137.5317617,74942.04211,74804.51035
425,-121.9331595,74942.07317,74820.14001
426,-105.2450052,74942.08628,74836.84127
427,-87.37539992,74942.08234,74854.70694
428,-68.23244505,74942.06226,74873.82981
429,-47.72424184,74942.02696,74894.30272
430,-25.75889159,74941.97734,74916.21845
431,-2.244495574,74941.91432,74939.66982
432,22.91084492,74941.83881,74964.74965
433,49.79902861,74941.75173,74991.55076
434,78.51195421,74941.65398,75020.16593
435,109.1415204,74941.54647,75050.68799
436,141.779626,74941.43013,75083.20976
437,176.5181696,74941.30585,75117.82402
438,213.44905,74941.17456,75154.62361
439,252.6641658,74941.03716,75193.70133
440,294.2554159,74940.89457,75235.14999
441,338.3146988,74940.7477,75279.0624
442,384.9339134,74940.59746,75325.53137
443,434.2049584,74940.44476,75374.64972
444,486.2197323,74940.29051,75426.51024
445,541.0701341,74940.13563,75481.20576
446,598.8480623,74939.98103,75538.82909
447,659.6454158,74939.82763,75599.47305
448,723.5540931,74939.67632,75663.23041
449,790.6659931,74939.52803,75730.19402
450,861.0730144,74939.38367,75800.45668
451,934.8670558,74939.24414,75874.1112
452,1012.140016,74939.11037,75951.25039
453,1092.983794,74938.98326,76031.96705
454,1177.490287,74938.86372,76116.35401
455,1265.751396,74938.75267,76204.50407
456,1357.859019,74938.65102,76296.51004
457,1453.905053,74938.55968,76392.46473
458,1553.981399,74938.47956,76492.46096
459,1658.179955,74938.41158,76596.59154
460,1766.592619,74938.35664,76704.94926
461,1879.31129,74938.31567,76817.62696
462,1996.427867,74938.28956,76934.71743
463,2118.034249,74938.27924,77056.31349
464,2244.222334,74938.28561,77182.50794
465,2375.084021,74938.30959,77313.39361
466,2510.711209,74938.35209,77449.0633
467,2651.195797,74938.41402,77589.60982
468,2796.629682,74938.49629,77735.12597
469,2947.104765,74938.59982,77885.70459
470,3102.712943,74938.72551,78041.43845
471,3263.546116,74938.87428,78202.4204
472,3429.696181,74939.04705,78368.74323
473,3601.255039,74939.24472,78540.49976
474,3778.314587,74939.4682,78717.78279
475,3960.966724,74939.71841,78900.68513
476,4149.303349,74939.99626,79089.29961
477,4343.416361,74940.30266,79283.71902
478,4543.397658,74940.63852,79484.03618
479,4749.339139,74941.00476,79690.3439
480,4961.332703,74941.40228,79902.73498
