X_Value,Y1_Value,Base,Variation,Y4_Value,Y3_Value,Y2_Value
217,763844.0989,534551.1875,-94586.96875,439964.2188,75138.17675,-400000
218,764048.2584,534551.1875,-94392.3125,440158.875,75124.58929,-400000
219,764256.2766,534551.1875,-94194.40625,440356.7813,75110.4137,-400000
220,764468.1288,534551.1875,-93993.40625,440557.7813,75095.706,-400000
221,764683.603,534551.1875,-93789.25,440761.9375,75080.52219,-400000
222,764902.7056,534551.1875,-93582.09375,440969.0938,75064.91831,-400000
223,765125.2246,534551.1875,-93371.9375,441179.25,75048.95034,-400000
224,765351.1041,534551.1875,-93158.8125,441392.375,75032.67431,-400000
225,765580.2568,534551.1875,-92942.8125,441608.375,75016.14622,-400000
226,765812.5333,534551.1875,-92723.96875,441827.2188,74999.42209,-400000
227,766047.8463,534551.1875,-92502.34375,442048.8438,74982.55793,-400000
228,766286.0774,534551.1875,-92278,442273.1875,74965.60974,-400000
229,766527.1083,534551.1875,-92050.96875,442500.2188,74948.63356,-400000
230,766770.8518,534551.1875,-91821.28125,442729.9063,74931.68536,-400000
231,767017.2207,534551.1875,-91589.0625,442962.125,74914.8212,-400000
232,767266.0343,534551.1875,-91354.28125,443196.9063,74898.09704,-400000
233,767517.2677,534551.1875,-91117.03125,443434.1563,74881.56894,-400000
234,767770.7713,534551.1875,-90877.375,443673.8125,74865.29288,-400000
235,768026.4269,534551.1875,-90635.34375,443915.8438,74849.32487,-400000
236,768284.1472,534551.1875,-90391,444160.1875,74833.72094,-400000
237,768543.8138,534551.1875,-90144.375,444406.8125,74818.53709,-400000
238,768805.3396,534551.1875,-89895.5625,444655.625,74803.82934,-400000
239,769068.575,534551.1875,-89644.5625,444906.625,74789.65369,-400000
240,769333.464,534551.1875,-89391.46875,445159.7188,74776.06617,-400000
241,769599.857,534551.1875,-89136.3125,445414.875,74763.12277,-400000
242,769867.6669,534551.1875,-88879.09375,445672.0938,74750.86783,-400000
243,770136.8493,534551.1875,-88619.625,445931.5625,74739.29905,-400000
244,770407.5939,534551.1875,-88357.5625,446193.625,74728.40239,-400000
245,770680.2579,534551.1875,-88092.71875,446458.4688,74718.16386,-400000
246,770955.0428,534551.1875,-87824.78125,446726.4063,74708.56947,-400000
247,771232.2746,534551.1875,-87553.4375,446997.75,74699.6052,-400000
248,771512.2794,534551.1875,-87278.5,447272.6875,74691.25706,-400000
249,771795.2586,534551.1875,-86999.625,447551.5625,74683.51105,-400000
250,772081.5695,534551.1875,-86716.59375,447834.5938,74676.35315,-400000
251,772371.4447,534551.1875,-86429.0625,448122.125,74669.76937,-400000
252,772665.2414,534551.1875,-86136.84375,448414.3438,74663.7457,-400000
253,772963.1611,534551.1875,-85839.625,448711.5625,74658.26815,-400000
254,773265.5297,534551.1875,-85537.125,449014.0625,74653.32271,-400000
255,773572.6423,534551.1875,-85229.0625,449322.125,74648.89537,-400000
256,773884.7938,534551.1875,-84915.1875,449636,74644.97213,-400000
257,774202.248,534551.1875,-84595.25,449955.9375,74641.539,-400000
258,774525.2684,534551.1875,-84268.9375,450282.25,74638.58197,-400000
259,774854.1814,534551.1875,-83936,450615.1875,74636.08703,-400000
260,775189.2505,534551.1875,-83596.125,450955.0625,74634.04019,-400000
261,775530.802,534551.1875,-83249.09375,451302.0938,74632.42744,-400000
262,775879.0683,534551.1875,-82894.625,451656.5625,74631.23477,-400000
263,776234.3444,534551.1875,-82532.40625,452018.7813,74630.4482,-400000
264,776596.9565,534551.1875,-82162.21875,452388.9688,74630.0537,-400000
265,776967.137,534551.1875,-81783.75,452767.4375,74630.0373,-400000
266,777345.212,534551.1875,-81396.75,453154.4375,74630.38496,-400000
267,777731.4454,534551.1875,-81000.90625,453550.2813,74631.0827,-400000
268,778126.1632,534551.1875,-80596.03125,453955.1563,74632.11652,-400000
269,778529.5667,534551.1875,-80181.75,454369.4375,74633.47241,-400000
270,778942.0446,534551.1875,-79757.875,454793.3125,74635.13637,-400000
271,779363.7981,534551.1875,-79324.09375,455227.0938,74637.09438,-400000
272,779795.1533,534551.1875,-78880.125,455671.0625,74639.33246,-400000
273,780236.4052,534551.1875,-78425.71875,456125.4688,74641.83661,-400000
274,780687.8175,534551.1875,-77960.59375,456590.5938,74644.59281,-400000
275,781149.6851,534551.1875,-77484.46875,457066.7188,74647.58707,-400000
276,781622.3031,534551.1875,-76997.09375,457554.0938,74650.80539,106075.4575
277,276514.6047,534551.1875,-76498.15625,458053.0313,74654.23375,106075.4575
278,277009.5826,534551.1875,-75987.4375,458563.75,74657.85816,106075.4575
279,277516.1333,534551.1875,-75464.65625,459086.5313,74661.66461,106075.4575
280,278034.5517,534551.1875,-74929.5,459621.6875,74665.6391,106075.4575
281,278565.164,534551.1875,-74381.71875,460169.4688,74669.76764,400000
282,-14443.92239,534551.1875,-73821.03125,460730.1563,74674.03622,400000
283,-13888.0961,534551.1875,-73247.1875,461304,74678.43082,400000
284,-13319.2534,534551.1875,-72659.90625,461891.2813,74682.93746,400000
285,-12737.09943,534551.1875,-72058.90625,462492.2813,74687.54213,400000
286,-12141.33926,534551.1875,-71443.9375,463107.25,74692.23083,378958.5747
287,9480.834398,534551.1875,-70814.6875,463736.5,74696.98955,378958.5747
