X_Value,Base,Z1_Value,Variation,Y_Value,Z_Value
385,534551.1875,-135778.2813,19996.0625,554547.25,398772.9062
386,534551.1875,-135356.8906,20564.1875,555115.375,399194.2969
387,534551.1875,-134928.2969,21124.5,555675.6875,399622.8906
388,534551.1875,-134492.75,21677.375,556228.5625,400058.4375
389,534551.1875,-134050.4688,22223.3125,556774.5,400500.7187
390,534551.1875,-133601.6875,22762.6875,557313.875,400949.5
391,534551.1875,-133146.6406,23295.875,557847.0625,401404.5469
392,534551.1875,-132685.5625,23823.1875,558374.375,401865.625
393,534551.1875,-132218.6875,24345.1875,558896.375,402332.5
394,534551.1875,-131746.2344,24862.1875,559413.375,402804.9531
395,534551.1875,-131268.4375,25374.5625,559925.75,403282.75
396,534551.1875,-130785.5469,25882.75,560433.9375,403765.6406
397,534551.1875,-130297.7734,26387.125,560938.3125,404253.4141
398,534551.1875,-129805.3516,26888.125,561439.3125,404745.8359
399,534551.1875,-129308.5234,27386.125,561937.3125,405242.6641
400,534551.1875,-128807.5156,27881.5,562432.6875,405743.6719
401,534551.1875,-128302.5547,28374.6875,562925.875,406248.6328
402,534551.1875,-127793.8828,28866.125,563417.3125,406757.3047
403,534551.1875,-127281.7266,29356.125,563907.3125,407269.4609
404,534551.1875,-126766.3125,29845.125,564396.3125,407784.875
405,534551.1875,-126247.875,30333.5,564884.6875,408303.3125
406,534551.1875,-125726.6563,30821.6875,565372.875,408824.5312
407,534551.1875,-125202.875,31310.125,565861.3125,409348.3125
408,534551.1875,-124676.7656,31799.0625,566350.25,409874.4219
409,534551.1875,-124148.5703,32289.0625,566840.25,410402.6172
410,534551.1875,-123618.5078,32780.4375,567331.625,410932.6797
411,534551.1875,-123086.8125,33273.625,567824.8125,411464.375
412,534551.1875,-122553.7188,33769,568320.1875,411997.4687
413,534551.1875,-122019.4609,34267,568818.1875,412531.7266
414,534551.1875,-121484.2656,34767.9375,569319.125,413066.9219
415,534551.1875,-120948.3672,35272.3125,569823.5,413602.8203
416,534551.1875,-120412,35780.4375,570331.625,414139.1875
417,534551.1875,-119875.3906,36292.75,570843.9375,414675.7969
418,534551.1875,-119338.7734,36809.6875,571360.875,415212.4141
419,534551.1875,-118802.375,37331.625,571882.8125,415748.8125
420,534551.1875,-118266.4375,37858.9375,572410.125,416284.75
421,534551.1875,-117731.1875,38392,572943.1875,416820
422,534551.1875,-117196.8047,38931.125,573482.3125,417354.3828
423,534551.1875,-116663.2891,39476.1875,574027.375,417887.8984
