Y_Value,X_Value,Z_Value
140.881428,1032,115.1676235
158.0070595,1033,121.3390123
173.3619278,1034,126.8722893
186.9961671,1035,131.7855207
198.9599114,1036,136.096773
209.3032949,1037,139.8241124
218.0764517,1038,142.9856053
225.3295159,1039,145.5993179
231.1126216,1040,147.6833166
235.475903,1041,149.2556677
238.469494,1042,150.3344375
240.1435289,1043,150.9376924
240.5481418,1044,151.0834986
239.7334667,1045,150.7899224
237.7496378,1046,150.0750303
234.6467892,1047,148.9568884
230.475055,1048,147.4535632
225.2845693,1049,145.5831209
219.1254662,1050,143.3636279
212.0478798,1051,140.8131504
204.1019443,1052,137.9497549
195.3377937,1053,134.7915075
185.8055622,1054,131.3564746
175.5553839,1055,127.6627226
164.6373928,1056,123.7283178
153.1017232,1057,119.5713264
140.998509,1058,115.2098148
128.3778845,1059,110.6618493
115.2899836,1060,105.9454963
101.7849407,1061,101.078822
87.91288964,1062,96.0798927
73.72396468,1063,90.96677483
59.26829988,1064,85.75753464
44.59602937,1065,80.47023847
29.75728725,1066,75.12295263
14.80220763,1067,69.73374343
-0.219075377,1068,64.32067719
-15.25642766,1069,58.90182023
-30.2597151,1070,53.49523887
-45.1788036,1071,48.11899943
-59.96355904,1072,42.79116821
-74.56384731,1073,37.52981155
-88.92953431,1074,32.35299574
-103.0104859,1075,27.27878712
-116.756568,1076,22.325252
-130.1176465,1077,17.5104567
-143.0435873,1078,12.85246753
-155.4842562,1079,8.369350814
-167.3895192,1080,4.079172864
-178.7092421,1081,0
-189.4038855,1082,-3.853919319
-199.4762879,1083,-7.483608058
-208.9398829,1084,-10.89390704
-217.8081035,1085,-14.08965709
-226.0943833,1086,-17.07569903
-233.8121554,1087,-19.85687368
-240.9748531,1088,-22.43802187
-247.5959099,1089,-24.82398442
-253.6887589,1090,-27.01960215
-259.2668335,1091,-29.02971588
-264.343567,1092,-30.85916645
-268.9323927,1093,-32.51279466
-273.0467439,1094,-33.99544135
-276.7000539,1095,-35.31194734
-279.905756,1096,-36.46715345
-282.6772835,1097,-37.4659005
-285.0280698,1098,-38.31302932
-286.9715481,1099,-39.01338073
-288.5211517,1100,-39.57179556
-289.690314,1101,-39.99311461
-290.4924682,1102,-40.28217873
-290.9410477,1103,-40.44382874
-291.0494857,1104,-40.48290544
-290.8312156,1105,-40.40424968
-290.2996707,1106,-40.21270227
-289.4682842,1107,-39.91310403
-288.3504896,1108,-39.51029579
-286.95972,1109,-39.00911837
-285.3094088,1110,-38.4144126
-283.4129893,1111,-37.73101929
-281.2838949,1112,-36.96377928
-278.9355587,1113,-36.11753337
-276.3814142,1114,-35.19712241
-273.6348945,1115,-34.2073872
-270.7094331,1116,-33.15316858
-267.6184633,1117,-32.03930736
-264.3754183,1118,-30.87064437
-260.9937314,1119,-29.65202044
-257.486836,1120,-28.38827638
-253.8681653,1121,-27.08425302
-250.1511527,1122,-25.74479117
-246.3492315,1123,-24.37473168
-242.475835,1124,-22.97891535
-238.5443964,1125,-21.56218301
-234.5683491,1126,-20.12937549
-230.5611264,1127,-18.6853336
-226.5361616,1128,-17.23489817
-222.506888,1129,-15.78291003
-218.4867389,1130,-14.33420999
-214.4891477,1131,-12.89363889
-210.5275475,1132,-11.46603753
-206.6153718,1133,-10.05624675
-202.7660538,1134,-8.669107368
-198.9930269,1135,-7.309460208
-195.3097243,1136,-5.982146093
-191.7295793,1137,-4.692005846
-188.2660253,1138,-3.44388029
-184.9324956,1139,-2.242610249
-181.7424234,1140,-1.093036544
-178.7092421,1141,0
-175.8435463,1142,1.032681527
-173.1445755,1143,2.005282046
-170.6087307,1144,2.919098532
-168.2324127,1145,3.77542796
-166.0120224,1146,4.575567306
-163.9439608,1147,5.320813544
